pos_group,bracket,age,pct_overall,pct_pace,pct_shooting,pct_passing,pct_dribbling,pct_defending,pct_physic,sample_size
FB,70-79,21,0.9475853249226786,0.9597354716592451,0.9112919247131661,0.933942042517633,0.9512839147497871,0.9528005696125822,0.9450591253766155,794
FB,70-79,22,0.9619123671947646,0.9698524284119527,0.9299829795943441,0.9534162743880269,0.9634822765204801,0.9620538052372666,0.9571849108134441,1046
FB,70-79,23,0.9673092710903328,0.9718007096726029,0.9475243014540904,0.9629196970120047,0.9700196478949316,0.9656281053566703,0.9651308357188322,1067
FB,70-79,24,0.9744461169578299,0.9697863191858145,0.959854953827172,0.9704296050971959,0.9740889140541322,0.9716373905860543,0.9699527515437202,1411
FB,70-79,25,0.9750008630633461,0.9725338569347057,0.966418386890692,0.9711756625970352,0.9768222082992251,0.9712842978262289,0.9747801480903772,1374
FB,70-79,26,0.9773612380592535,0.9697743246574753,0.9672961030756121,0.9767916767430604,0.9771373708164022,0.9737995422388102,0.9741026521626026,1664
FB,70-79,27,0.9744129953651363,0.9606148733862827,0.9689890035922866,0.9764421079947952,0.974771202594381,0.9684390284095303,0.9743837497170692,1466
FB,70-79,28,0.9736710402324485,0.9570258965591163,0.9683150874734773,0.9730947618228618,0.9729800009709209,0.966875288660802,0.9701511560862275,1336
FB,70-79,29,0.9743144027753404,0.9558464928289637,0.9736982626684292,0.9746973505674186,0.971462139920626,0.9667877500083886,0.9718355770875824,1331
FB,70-79,30,0.9717800765059104,0.9405314834068915,0.9729374402252775,0.976634337549979,0.9696887213874856,0.9635578625696237,0.9670817529672961,1271
FB,70-79,31,0.9686731367656476,0.9254597588997564,0.967690103884646,0.9751596978439664,0.9661854839696797,0.960716242960317,0.9658933661420666,885
FB,70-79,32,0.9619996873066198,0.9235338641324894,0.9719020973511532,0.9689309181773693,0.9626314112880697,0.9524570303807705,0.9651599043430736,888
FB,70-79,33,0.9570629679476376,0.9022649354305311,0.9617553616616739,0.9683091723820889,0.9535207248438101,0.9497706669455251,0.9543658762943777,556
FB,70-79,34,0.9608923581114561,0.903354002740959,0.9622026456695252,0.9708381671888806,0.9610529192975046,0.9596849204779575,0.9585765308956771,404
FB,70-79,35,0.9549893784158904,0.8736722584927403,0.9656957214025437,0.9713938825462557,0.9628631130059103,0.9581988554392493,0.9574184936391391,228
FB,80-89,18,0.7863163109696636,0.8752537982607693,0.6837575640997707,0.7271976212683623,0.8041680586555345,0.8038134996731067,0.8144120601247417,16
FB,80-89,19,0.8717178968375273,0.9424313828929486,0.796042485299408,0.8371999071913364,0.888636669613514,0.8830119142928196,0.8901490558273067,24
FB,80-89,20,0.8907468870747764,0.9511886836098521,0.8470021667443915,0.8713931071532539,0.9068107712709224,0.8991066114372729,0.9211440020153666,52
FB,80-89,21,0.9239519583411016,0.9633579908092447,0.8631164440786571,0.901734555934242,0.932070609657105,0.9289141004624454,0.9445226840396592,73
FB,80-89,22,0.9441396283104012,0.9754622408388738,0.899419507739706,0.9323559849201197,0.9563239260712714,0.9514325419860573,0.9553392444845353,95
